chip_id,true_label,tprop_0h,tprop_24h,tprop_96h,tprop_168h,iddq_0h,iddq_24h,iddq_96h,iddq_168h
IC_0000,STATIC_OUTLIER,12.37,12.506,12.653,12.766,42.325,42.636,43.548,44.107
IC_0001,STATIC_OUTLIER,12.764,12.914,13.02,13.169,44.423,44.922,45.631,46.085
IC_0002,STATIC_OUTLIER,11.441,11.636,11.697,11.802,41.62,42.178,42.674,43.333
IC_0003,STATIC_OUTLIER,12.225,12.307,12.475,12.539,42.907,43.377,44.068,44.683
IC_0004,STATIC_OUTLIER,11.74,11.907,11.977,12.109,42.566,43.128,43.792,44.217
IC_0005,LATENT_DRIFT_DEFECT,11.805,12.728,13.83,16.019,10.718,14.55,28.81,48.196
IC_0006,LATENT_DRIFT_DEFECT,11.763,12.568,13.982,16.352,9.908,14.244,28.782,44.886
IC_0007,LATENT_DRIFT_DEFECT,11.654,12.582,13.865,16.138,10.14,14.381,26.814,44.548
IC_0008,LATENT_DRIFT_DEFECT,12.019,12.856,13.865,16.5,9.868,14.343,27.401,45.238
IC_0009,LATENT_DRIFT_DEFECT,11.668,12.382,13.762,16.224,10.615,14.565,27.274,45.352
IC_0010,NOMINAL,12.108,12.079,12.23,12.338,9.444,9.982,10.294,10.799
IC_0011,NOMINAL,11.98,12.042,11.986,12.139,9.441,9.73,10.405,10.786
IC_0012,NOMINAL,11.904,11.914,12.02,12.098,10.29,10.407,10.789,11.032
IC_0013,NOMINAL,11.637,11.624,11.75,11.753,7.704,8.334,8.437,8.978
IC_0014,NOMINAL,11.769,11.774,11.838,11.916,7.93,8.17,8.394,8.872
IC_0015,NOMINAL,12.302,12.386,12.496,12.45,9.325,9.705,10.277,10.338
IC_0016,NOMINAL,12.2,12.208,12.27,12.298,8.785,9.346,9.852,9.937
IC_0017,NOMINAL,11.609,11.656,11.701,11.79,10.377,10.865,11.614,11.758
IC_0018,NOMINAL,12.04,12.038,12.212,12.228,8.91,9.326,9.78,9.729
IC_0019,NOMINAL,12.301,12.361,12.368,12.428,8.305,9.007,9.222,9.24
IC_0020,NOMINAL,11.332,11.388,11.406,11.425,11.759,12.021,12.289,12.932
IC_0021,NOMINAL,12.217,12.323,12.316,12.38,9.729,10.26,10.52,10.882
IC_0022,NOMINAL,11.735,11.751,11.846,11.855,10.081,10.378,10.607,10.985
IC_0023,NOMINAL,12.228,12.278,12.313,12.372,8.29,8.616,8.834,9.153
IC_0024,NOMINAL,11.695,11.724,11.727,11.867,9.347,9.891,10.024,10.3
IC_0025,NOMINAL,11.278,11.354,11.337,11.404,10.133,10.51,10.734,10.79
IC_0026,NOMINAL,11.349,11.353,11.435,11.599,8.619,9.113,9.244,9.951
IC_0027,NOMINAL,12.019,12.074,12.099,12.161,10.451,10.922,11.255,11.509
IC_0028,NOMINAL,12.104,12.13,12.236,12.273,9.279,9.654,10.077,10.466
IC_0029,NOMINAL,11.638,11.662,11.743,11.714,9.65,9.853,10.42,10.579
IC_0030,NOMINAL,12.255,12.283,12.266,12.375,9.278,9.426,10.268,9.914
IC_0031,NOMINAL,11.335,11.378,11.485,11.493,12.223,12.328,12.978,13.438
IC_0032,NOMINAL,11.974,11.999,12.085,12.174,9.984,10.672,10.451,11.149
IC_0033,NOMINAL,11.516,11.553,11.666,11.685,8.731,8.92,9.478,9.729
IC_0034,NOMINAL,11.739,11.831,11.854,11.847,10.987,11.317,11.963,12.189
IC_0035,NOMINAL,12.019,12.09,12.167,12.192,8.535,8.883,9.697,9.591
IC_0036,NOMINAL,11.656,11.716,11.758,11.816,10.251,10.609,10.762,11.222
IC_0037,NOMINAL,11.846,11.863,12.016,12.092,7.648,8.204,8.688,8.726
IC_0038,NOMINAL,12.403,12.401,12.538,12.621,8.406,8.965,9.294,9.624
IC_0039,NOMINAL,11.769,11.838,11.867,11.961,10.236,10.527,11.064,11.286
IC_0040,NOMINAL,12.334,12.394,12.507,12.468,10.886,11.169,11.968,11.794
IC_0041,NOMINAL,11.548,11.638,11.686,11.727,10.206,10.631,10.835,11.239
IC_0042,NOMINAL,12.212,12.211,12.312,12.384,9.861,10.111,10.54,10.658
IC_0043,NOMINAL,12.577,12.59,12.601,12.643,9.639,10.161,10.335,10.561
IC_0044,NOMINAL,11.011,10.971,11.045,11.132,8.226,8.616,9.094,9.06
IC_0045,NOMINAL,11.681,11.693,11.786,11.799,9.136,9.595,9.929,9.887
IC_0046,NOMINAL,12.231,12.304,12.347,12.422,9.447,9.96,10.414,10.883
IC_0047,NOMINAL,11.919,11.931,11.999,12.135,11.269,11.835,12.081,12.586
IC_0048,NOMINAL,12.148,12.206,12.259,12.292,10.412,10.833,11.329,11.336
IC_0049,NOMINAL,11.758,11.778,11.914,11.809,7.884,8.033,8.598,8.963
IC_0050,NOMINAL,12.035,12.074,12.151,12.159,10.389,10.779,11.219,11.253
IC_0051,NOMINAL,11.938,11.919,11.982,12.117,9.538,9.775,10.228,10.528
IC_0052,NOMINAL,12.467,12.505,12.578,12.673,9.188,9.54,10.207,10.459
IC_0053,NOMINAL,12.102,12.005,12.145,12.239,10.734,11.104,11.359,11.501
IC_0054,NOMINAL,12.135,12.161,12.23,12.3,11.237,11.836,12.326,12.292
IC_0055,NOMINAL,11.835,11.799,11.917,11.941,11.118,11.488,11.929,12.058
IC_0056,NOMINAL,11.805,11.881,11.878,11.973,8.993,9.384,9.496,9.836
IC_0057,NOMINAL,11.827,11.889,11.881,11.96,9.629,10.275,10.688,10.613
IC_0058,NOMINAL,12.158,12.205,12.247,12.395,10.398,10.786,11.048,11.39
IC_0059,NOMINAL,11.832,11.926,11.92,12.031,11.171,11.975,11.995,12.239
IC_0060,NOMINAL,12.116,12.111,12.111,12.271,9.425,9.928,10.268,10.715
IC_0061,NOMINAL,12.83,12.927,13.004,12.952,9.777,9.856,10.747,10.974
IC_0062,NOMINAL,12.348,12.411,12.478,12.481,8.672,9.105,9.065,9.494
IC_0063,NOMINAL,11.87,11.89,11.953,12.017,8.565,8.991,9.859,9.65
IC_0064,NOMINAL,12.48,12.559,12.594,12.704,10.975,11.588,12.069,12.243
IC_0065,NOMINAL,11.837,11.817,11.873,11.976,11.627,12.038,12.35,12.577
IC_0066,NOMINAL,11.185,11.182,11.353,11.315,9.914,10.267,10.74,10.988
IC_0067,NOMINAL,11.597,11.602,11.773,11.832,11.204,11.396,12.084,12.383
IC_0068,NOMINAL,11.252,11.262,11.363,11.421,10.434,10.794,11.385,11.619
IC_0069,NOMINAL,11.859,11.841,11.98,12.017,9.226,9.395,9.984,9.883
IC_0070,NOMINAL,12.007,12.087,12.118,12.149,10.434,10.735,11.384,11.669
IC_0071,NOMINAL,12.671,12.694,12.729,12.864,11.846,12.353,12.794,13.17
IC_0072,NOMINAL,12.131,12.169,12.196,12.273,9.957,10.512,10.606,10.707
IC_0073,NOMINAL,11.912,11.915,12.001,11.97,11.878,12.25,12.554,12.774
IC_0074,NOMINAL,12.332,12.293,12.428,12.595,6.856,7.106,7.784,8.178
IC_0075,NOMINAL,11.116,11.151,11.188,11.297,10.986,11.357,11.835,11.82
IC_0076,NOMINAL,12.094,12.051,12.2,12.253,10.104,10.695,11.109,11.433
IC_0077,NOMINAL,12.308,12.334,12.4,12.415,9.641,9.903,9.988,11.001
IC_0078,NOMINAL,11.409,11.379,11.495,11.557,10.11,10.405,10.911,10.887
IC_0079,NOMINAL,12.458,12.57,12.526,12.637,7.615,8.03,8.566,8.582
IC_0080,NOMINAL,12.135,12.2,12.199,12.297,9.736,9.965,10.505,10.766
IC_0081,NOMINAL,11.834,11.867,11.878,11.994,10.429,10.883,11.167,11.552
IC_0082,NOMINAL,12.253,12.33,12.381,12.415,11.773,12.088,12.684,12.684
IC_0083,NOMINAL,12.908,12.904,12.923,13.124,9.378,9.81,10.344,10.646
IC_0084,NOMINAL,12.073,12.119,12.2,12.224,9.03,9.198,9.587,9.687
IC_0085,NOMINAL,12.099,12.134,12.245,12.201,9.398,9.67,10.212,10.461
IC_0086,NOMINAL,11.816,11.861,11.919,12.054,11.098,11.636,11.909,12.226
IC_0087,NOMINAL,11.66,11.736,11.641,11.861,10.395,10.655,10.894,11.552
IC_0088,NOMINAL,12.332,12.392,12.419,12.62,9.364,10.003,10.116,10.742
IC_0089,NOMINAL,11.658,11.695,11.743,11.752,10.616,10.883,11.475,11.431
IC_0090,NOMINAL,12.029,11.994,12.095,12.208,10.116,10.548,11.147,11.165
IC_0091,NOMINAL,11.809,11.794,11.868,11.852,11.162,11.599,11.901,12.134
IC_0092,NOMINAL,12.192,12.221,12.368,12.397,9.158,9.374,10.223,10.318
IC_0093,NOMINAL,12.133,12.165,12.253,12.26,9.607,9.69,10.459,10.588
IC_0094,NOMINAL,12.415,12.395,12.462,12.625,9.529,9.614,10.131,10.423
IC_0095,NOMINAL,11.796,11.915,11.809,11.888,8.244,8.721,8.95,8.773
IC_0096,NOMINAL,11.892,11.977,11.96,11.954,10.355,10.575,11.15,11.214
IC_0097,NOMINAL,11.608,11.661,11.696,11.742,10.313,11.055,11.224,11.227
IC_0098,NOMINAL,11.822,11.851,11.93,11.884,10.006,10.251,10.918,10.867
IC_0099,NOMINAL,12.151,12.175,12.238,12.354,9.718,10.153,10.731,11.091
IC_0100,NOMINAL,12.303,12.292,12.415,12.367,8.302,8.877,9.121,9.09
IC_0101,NOMINAL,11.631,11.659,11.793,11.767,9.495,10.111,10.358,10.513
IC_0102,NOMINAL,12.348,12.388,12.48,12.424,9.589,10.271,10.417,10.608
